id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
W21075,6090760,SUBSPECIES,Zosterops lateralis,Zosterops lateralis chloronotus,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,Zosterops lateralis,NA,"Zosterops lateralis chloronotus Gould, 1841",Zosterops lateralis chloronotus,ACCEPTED,100,EXACT,2019-11-01T16:16:04Z
W21083,6174004,SUBSPECIES,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus pyrrhopterus,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,Phylidonyris pyrrhopterus,NA,Phylidonyris pyrrhopterus pyrrhopterus,Phylidonyris pyrrhopterus pyrrhopterus,ACCEPTED,100,EXACT,2019-11-01T16:10:43Z
W21103,6171013,SUBSPECIES,Malurus cyaneus,Malurus cyaneus leggei,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,Malurus cyaneus,NA,"Malurus cyaneus leggei Mathews, 1912",Malurus cyaneus leggei,ACCEPTED,100,EXACT,2019-11-01T16:06:40Z
x,3177019,SPECIES,Eucalyptus leucoxylon,Eucalyptus leucoxylon,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus leucoxylon,white ironbark,Eucalyptus leucoxylon F.Muell.,Eucalyptus leucoxylon,ACCEPTED,100,EXACT,2019-12-02T13:56:50Z
Y00004,2481634,SPECIES,Eudyptes pachyrhynchus,Eudyptes pachyrhynchus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes pachyrhynchus,NA,"Eudyptes pachyrhynchus G.R.Gray, 1845",Eudyptes pachyrhynchus,ACCEPTED,100,EXACT,2019-11-01T16:02:40Z
Y00020,5229423,SPECIES,Pedionomus torquatus,Pedionomus torquatus,Animalia,Chordata,Aves,Charadriiformes,Pedionomidae,Pedionomus,Pedionomus torquatus,NA,"Pedionomus torquatus Gould, 1841",Pedionomus torquatus,ACCEPTED,100,EXACT,2019-11-01T16:10:01Z
Y00064,2481988,SPECIES,Garrodia nereis,Garrodia nereis,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Garrodia,Garrodia nereis,NA,"Garrodia nereis (Gould, 1841)",Garrodia nereis,ACCEPTED,100,EXACT,2019-11-01T16:03:20Z
Y00072,5229378,SPECIES,Puffinus carneipes,Ardenna carneipes,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus carneipes,NA,"Puffinus carneipes Gould, 1844",Puffinus carneipes,ACCEPTED,NA,Synonym,2019-11-01T15:56:43Z
Y00080,2481545,SPECIES,Daption capense,Daption capense,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Daption,Daption capense,NA,"Daption capense (Linnaeus, 1758)",Daption capense,ACCEPTED,100,EXACT,2019-11-01T16:01:14Z
Y00128,2481621,SPECIES,Stercorarius parasiticus,Stercorarius parasiticus,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius parasiticus,NA,"Stercorarius parasiticus (Linnaeus, 1758)",Stercorarius parasiticus,ACCEPTED,100,EXACT,2019-11-01T16:13:49Z
Y00136,2480327,SPECIES,Pluvialis squatarola,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,NA,"Pluvialis squatarola (Linnaeus, 1758)",Pluvialis squatarola,ACCEPTED,100,EXACT,2019-11-01T16:11:08Z
Y00144,2480342,SPECIES,Elseyornis melanops,Elseyornis melanops,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Elseyornis,Elseyornis melanops,NA,"Elseyornis melanops (Vieillot, 1818)",Elseyornis melanops,ACCEPTED,100,EXACT,2019-11-01T16:02:14Z
Y00152,2481685,SPECIES,Limosa limosa,Limosa limosa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Limosa limosa,NA,"Limosa limosa (Linnaeus, 1758)",Limosa limosa,ACCEPTED,100,EXACT,2019-11-01T16:05:57Z
Y00160,2481739,GENUS,Calidris,Calidris cinereus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,NA,NA,"Calidris Merrem, 1804",Calidris,ACCEPTED,95,HIGHERRANK,2019-11-01T15:57:56Z
Y00216,5232471,SPECIES,Oxyura australis,Oxyura australis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura australis,NA,"Oxyura australis Gould, 1837",Oxyura australis,ACCEPTED,100,EXACT,2019-11-01T16:09:26Z
Y00268,2480030,SPECIES,Callocephalon fimbriatum,Callocephalon fimbriatum,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Callocephalon,Callocephalon fimbriatum,NA,"Callocephalon fimbriatum (J.Grant, 1803)",Callocephalon fimbriatum,ACCEPTED,100,EXACT,2019-11-01T15:58:07Z
Y00284,6170656,SUBSPECIES,Platycercus elegans,Platycercus elegans flaveolus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,Platycercus elegans,NA,"Platycercus elegans flaveolus Gould, 1837",Platycercus elegans flaveolus,ACCEPTED,100,EXACT,2019-11-01T16:10:58Z
Y00304,2479795,SPECIES,Neopsephotus bourkii,Neopsephotus bourkii,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neopsephotus,Neopsephotus bourkii,NA,"Neopsephotus bourkii (Gould, 1841)",Neopsephotus bourkii,ACCEPTED,100,EXACT,2019-11-01T16:08:23Z
Y00348,2496204,SPECIES,Scythrops novaehollandiae,Scythrops novaehollandiae,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Scythrops,Scythrops novaehollandiae,NA,"Scythrops novaehollandiae Latham, 1790",Scythrops novaehollandiae,ACCEPTED,100,EXACT,2019-11-01T16:13:07Z
Y00380,6090741,SUBSPECIES,Petroica boodang,Petroica boodang boodang,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica boodang,NA,Petroica boodang boodang,Petroica boodang boodang,ACCEPTED,100,EXACT,2019-11-01T16:10:19Z
Y00452,2487022,SPECIES,Ashbyia lovensis,Ashbyia lovensis,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Ashbyia,Ashbyia lovensis,NA,"Ashbyia lovensis (Ashby, 1911)",Ashbyia lovensis,ACCEPTED,100,EXACT,2019-11-01T15:56:57Z
Y00488,7341545,SUBSPECIES,Sericornis frontalis,Sericornis frontalis frontalis,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis,NA,Sericornis frontalis frontalis,Sericornis frontalis frontalis,ACCEPTED,100,EXACT,2019-11-01T16:13:11Z
Y00508,5817098,SPECIES,Megalurus cruralis,Megalurus cruralis,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Megalurus,Megalurus cruralis,NA,"Megalurus cruralis Vigors & Horsfield, 1827",Megalurus cruralis,ACCEPTED,100,EXACT,2019-11-01T16:06:50Z
Y00524,5231333,SPECIES,Acrocephalus stentoreus,Acrocephalus stentoreus,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus stentoreus,NA,"Acrocephalus stentoreus (Hemprich & Ehrenberg, 1833)",Acrocephalus stentoreus,ACCEPTED,100,EXACT,2019-11-01T15:55:16Z
Y00532,2487511,SPECIES,Malurus splendens,Malurus splendens,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,Malurus splendens,NA,"Malurus splendens (Quoy & Gaimard, 1830)",Malurus splendens,ACCEPTED,100,EXACT,2019-11-01T16:06:43Z
Y00540,2487501,SPECIES,Malurus pulcherrimus,Malurus pulcherrimus,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,Malurus pulcherrimus,NA,"Malurus pulcherrimus Gould, 1844",Malurus pulcherrimus,ACCEPTED,100,EXACT,2019-11-01T16:06:42Z
Y00620,2486880,SPECIES,Lichenostomus cratitius,Lichenostomus cratitius,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,Lichenostomus cratitius,NA,"Lichenostomus cratitius (Gould, 1841)",Lichenostomus cratitius,ACCEPTED,100,EXACT,2019-11-01T16:05:44Z
Y00648,2490585,SPECIES,Mirafra javanica,Mirafra javanica,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Mirafra,Mirafra javanica,NA,"Mirafra javanica Horsfield, 1821",Mirafra javanica,ACCEPTED,100,EXACT,2019-11-01T16:07:29Z
Y00680,2494820,SPECIES,Chlamydera maculata,Chlamydera maculata,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Chlamydera,Chlamydera maculata,NA,"Chlamydera maculata (Gould, 1837)",Chlamydera maculata,ACCEPTED,100,EXACT,2019-11-01T15:59:15Z
Y00700,2489439,SPECIES,Cracticus nigrogularis,Cracticus nigrogularis,Animalia,Chordata,Aves,Passeriformes,Cracticidae,Cracticus,Cracticus nigrogularis,NA,"Cracticus nigrogularis (Gould, 1837)",Cracticus nigrogularis,ACCEPTED,100,EXACT,2019-11-01T16:00:06Z
Y00868,2482522,SPECIES,Corvus tasmanicus,Corvus tasmanicus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus tasmanicus,NA,"Corvus tasmanicus Mathews, 1912",Corvus tasmanicus,ACCEPTED,100,EXACT,2019-11-01T16:00:02Z
Y00876,2490307,SPECIES,Motacilla citreola,Motacilla citreola,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,Motacilla citreola,NA,"Motacilla citreola Pallas, 1776",Motacilla citreola,ACCEPTED,100,EXACT,2019-11-01T16:07:48Z
Y00948,9761484,SPECIES,Anas platyrhynchos,Anas platyrhynchos,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos,NA,"Anas platyrhynchos Linnaeus, 1758",Anas platyrhynchos,ACCEPTED,100,EXACT,2019-11-01T15:55:48Z
