id,key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common,scientificName,canonicalName,Status,Confidence,Match,Stamp
K02697,2450240,SPECIES,Pseudonaja modesta,Pseudonaja modesta,Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja modesta,Ringed Brown Snake,"Pseudonaja modesta (Günther, 1872)",Pseudonaja modesta,ACCEPTED,100,EXACT,2019-12-02T14:50:40Z
K02813,4820825,SPECIES,Parasuta spectabilis,Parasuta spectabilis,Animalia,Chordata,Reptilia,Squamata,Elapidae,Parasuta,Parasuta spectabilis,Spectacled Hooded Snake,"Parasuta spectabilis (Krefft, 1869)",Parasuta spectabilis,ACCEPTED,99,EXACT,2019-12-02T14:47:04Z
K03269,5216933,SPECIES,Rhinella marina,Bufo marinus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,Rhinella marina,Cane Toad,"Rhinella marina (Linnaeus, 1758)",Rhinella marina,ACCEPTED,NA,Synonym,2019-12-02T14:27:10Z
K04017,4819609,SPECIES,Tympanocryptis centralis,Tympanocryptis centralis,Animalia,Chordata,Reptilia,Squamata,Agamidae,Tympanocryptis,Tympanocryptis centralis,Central Australian Earless Dragon,"Tympanocryptis centralis Sternfeld, 1925",Tympanocryptis centralis,ACCEPTED,100,EXACT,2019-12-02T14:56:13Z
K04077,2480684,SPECIES,Hieraaetus morphnoides,Hieraaetus morphnoides,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus morphnoides,Little Eagle,"Hieraaetus morphnoides (Gould, 1841)",Hieraaetus morphnoides,ACCEPTED,100,EXACT,2019-12-02T14:37:49Z
K04093,6091220,SUBSPECIES,Acanthiza iredalei,Acanthiza iredalei iredalei,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Acanthiza iredalei,NA,Acanthiza iredalei iredalei,Acanthiza iredalei iredalei,ACCEPTED,100,EXACT,2019-12-02T13:59:17Z
K04113,2462299,SPECIES,Ctenotus grandis,Ctenotus grandis,Animalia,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Ctenotus grandis,Grand Ctenotus,"Ctenotus grandis Storr, 1969",Ctenotus grandis,ACCEPTED,100,EXACT,2019-12-02T14:32:06Z
K04149,5959190,SPECIES,Pachycephala rufiventris,Pachycephala rufiventris,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Pachycephala,Pachycephala rufiventris,Rufous Whistler,"Pachycephala rufiventris (Latham, 1802)",Pachycephala rufiventris,ACCEPTED,100,EXACT,2019-12-02T14:46:32Z
K04165,2446849,GENUS,Strophurus,Strophurus sp.,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Strophurus,NA,NA,"Strophurus Fitzinger, 1843",Strophurus,ACCEPTED,96,EXACT,2019-12-02T14:54:16Z
K04173,2486651,SPECIES,Myiagra inquieta,Myiagra inquieta,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Myiagra,Myiagra inquieta,Restless Flycatcher,"Myiagra inquieta (Latham, 1802)",Myiagra inquieta,ACCEPTED,100,EXACT,2019-12-02T14:43:50Z
K04181,7342021,SUBSPECIES,Falcunculus frontatus,Falcunculus frontatus frontatus,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,Falcunculus,Falcunculus frontatus,Crested Shrike-tit (Eastern),Falcunculus frontatus frontatus,Falcunculus frontatus frontatus,ACCEPTED,100,EXACT,2019-12-02T14:35:37Z
K04201,2489301,SPECIES,Eopsaltria australis,Eopsaltria australis,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Eopsaltria,Eopsaltria australis,Eastern Yellow Robin,"Eopsaltria australis (Shaw, 1790)",Eopsaltria australis,ACCEPTED,100,EXACT,2019-12-02T14:34:39Z
K04229,2495063,SPECIES,Cinclosoma punctatum,Cinclosoma punctatum,Animalia,Chordata,Aves,Passeriformes,Psophodidae,Cinclosoma,Cinclosoma punctatum,Spotted Quail-thrush,"Cinclosoma punctatum (Shaw, 1795)",Cinclosoma punctatum,ACCEPTED,100,EXACT,2019-12-02T14:30:01Z
K04245,2481221,SPECIES,Xema sabini,Xema sabini,Animalia,Chordata,Aves,Charadriiformes,Laridae,Xema,Xema sabini,Sabine's Gull,"Xema sabini (Sabine, 1819)",Xema sabini,ACCEPTED,100,EXACT,2019-12-02T14:57:06Z
